session,lecture,lab
1,https://youtu.be/HI17wyfgONw,https://youtu.be/nlNsp2RrIaw
2,https://youtu.be/NVHrZS4br4g,https://youtu.be/B8OIZVBVs5E
3,"https://youtu.be/aJreHZjrGYY","https://youtu.be/P4Zt2XLnbb8"
4,"https://youtu.be/IeOyc4k0IdM","https://youtu.be/_cHcrGLZmi4"
5,"https://youtu.be/-ZJ0Ah1im-E","#"
6,"https://youtu.be/5vYkMhE1eWA","https://youtu.be/Z0ndPIRFtJQ"
7,"https://youtu.be/bR56jvOfzVc","https://youtu.be/usKWHEj-SLg"
8,"https://youtu.be/tVrVD_383lM","https://youtu.be/rdMim5WtLx8"
9,"https://youtu.be/GzLpF31QP4Q","https://youtu.be/Npl2Mwdx1Do"
10,"#","#"
